,name,typ_0,x,y
0,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Antónyová, Košice-Dargov.hrdinov, (MUDr. Antónyová Eva s.r.o.)",ChildHospital,21.2824586,48.7395041
1,"Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Balluchová, Košice-Západ, (Balmed s.r.o.)",ChildHospital,21.2374149,48.7221636
2,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Bednárová, Košice-Sídl.Ťahanovce, (MUDr. Eva Bednárová)",ChildHospital,21.2674997,48.7549773
3,"Všeobecná ambulancia pre deti a dorast, MUDr. Adriana Čuhová, Košice-Juh, (doBRRÁ ambulancia s.r.o.)",ChildHospital,21.2576085,48.7070256
4,"Všeobecná ambulancia pre deti a dorast, MUDr. Tamara Dupkalová, Košice-Dargov.hrdinov, (MUDr. Tamara Dupkalová)",ChildHospital,21.2824586,48.7395041
5,"Všeobecná ambulancia pre deti a dorast, MUDr. Terézia Džunková, Košice-Juh, (MUDr. Terézia Džunková)",ChildHospital,21.2576085,48.7070256
6,"Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Frolová, Košice-Sídl.Ťahanovce, (Ambulancia Lienka s.r.o.)",ChildHospital,21.2672463,48.7560684
7,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľudmila Grossmanová, Košice-Šaca, (PEDIATRIA - ŠACA s.r.o.)",ChildHospital,21.1729654,48.6363598
8,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľudmila Halásová, Košice-Sídlisko KVP, (LUDOC s.r.o.)",ChildHospital,21.2160937,48.7147646
9,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Halásová, Košice-Sídlisko KVP, (Healing H s. r. o.)",ChildHospital,21.2160937,48.7147646
10,"Všeobecná ambulancia pre deti a dorast, MUDr. Judita Hargašová, Košice-Dargov.hrdinov, (MEDHAR s.r.o.)",ChildHospital,21.2824586,48.7395041
11,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Horváthová, Košice-Dargov.hrdinov, (MUDr. Mária Horváthová)",ChildHospital,21.2824586,48.7395041
12,"Všeobecná ambulancia pre deti a dorast, MUDr. Alena Jancová, Košice-Sídlisko KVP, (JAAT Style, s. r. o.)",ChildHospital,21.2160937,48.7147646
13,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľubica Birošová, Košice-Krásna, (LUMART LM s.r.o.)",ChildHospital,21.3192039,48.671261
14,"Všeobecná ambulancia pre deti a dorast, MUDr. Žofia Kissová, Košice-Staré Mesto, (MEDKISS s.r.o.)",ChildHospital,21.2434606,48.7249693
15,"Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Klembarová, Košice-Juh, (MAPAS, s. r. o.)",ChildHospital,21.2576085,48.7070256
16,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Kočíková, Košice-Západ, (KOMALEK s. r. o.)",ChildHospital,21.2374149,48.7221636
17,"Všeobecná ambulancia pre deti a dorast, MUDr. Dagmar Kováčiková, Košice-Staré Mesto, (MUDr. Dagmar Kováčiková)",ChildHospital,21.2434606,48.7249693
18,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Krajčiová, Košice-Sídlisko KVP, (VIAMEDY s.r.o.)",ChildHospital,21.2160937,48.7147646
19,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Lorková, Košice-Sídlisko KVP, (LORMED s.r.o.)",ChildHospital,21.2160937,48.7147646
20,"Všeobecná ambulancia pre deti a dorast, MUDr. Zoja Olašinová, Košice-Sídlisko KVP, (ADAM - KOŠICE s.r.o.)",ChildHospital,21.2160937,48.7147646
21,"Všeobecná ambulancia pre deti a dorast, MUDr. Kristína Pačutová, Košice-Sídlisko KVP, (MEDPAK, s.r.o.)",ChildHospital,21.2160937,48.7147646
22,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Pavlová, Košice-Sídlisko KVP, (PVP s.r.o.)",ChildHospital,21.2160937,48.7147646
23,"PEDAMB s.r.o., Košice-Západ, (PEDAMB s.r.o.)",ChildHospital,21.2374149,48.7221636
24,"Všeobecná ambulancia pre deti a dorast, MUDr. Alexandra Puzová, Košice-Staré Mesto, (MUDr. Alexandra Puzová)",ChildHospital,21.2434606,48.7249693
25,"Všeobecná ambulancia pre deti a dorast, MUDr. Marta Rubovičová, Košice-Dargov.hrdinov, (RUBOPED s. r. o.)",ChildHospital,21.2824586,48.7395041
26,"Všeobecná ambulancia pre deti a dorast, MUDr. Iveta Rusenova, Košice-Staré Mesto, (RUSENOVA - MED s.r.o.)",ChildHospital,21.2456565,48.7265656
27,"Všeobecná ambulancia pre deti a dorast, MUDr. Miriam Salzerová, Košice-Západ, (SALZER s.r.o.)",ChildHospital,21.2374149,48.7221636
28,"Všeobecná ambulancia pre deti a dorast, MUDr. Katarína Sedliaková, Košice-Juh, (KATSED s.r.o.)",ChildHospital,21.2576085,48.7070256
29,"Všeobecná ambulancia pre deti a dorast, MUDr. Gabriela Semanová, Košice-Sídlisko KVP, (GAVAS s.r.o.)",ChildHospital,21.2160937,48.7147646
30,"Všeobecná ambulancia pre deti a dorast, MUDr. Libuše Slávková, Košice-Sídl.Ťahanovce, (MUDr. Libuše Slávková)",ChildHospital,21.2674997,48.7549773
31,"Všeobecná ambulancia pre deti a dorast, MUDr. Jana Snopková, Košice-Západ, (MUDr. Snopková s.r.o.)",ChildHospital,21.2374149,48.7221636
32,"Všeobecná ambulancia pre deti a dorast, MUDr. Janka Stašová, Košice-Staré Mesto, (STAJAMED s.r.o.)",ChildHospital,21.2456565,48.7265656
33,"Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Šašalová, Košice-Nad jazerom, (PEDOS s.r.o.)",ChildHospital,21.2844925,48.6895806
34,"Všeobecná ambulancia pre deti a dorast, MUDr. Jana Šefranková, Košice-Západ, (LIŠKOVÁ, MUDr., s.r.o.)",ChildHospital,21.2374149,48.7221636
35,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Ševecová, Košice-Sídl.Ťahanovce, (MUDr. Eva Ševecová)",ChildHospital,21.2674997,48.7549773
36,"Všeobecná ambulancia pre deti a dorast, Košice-Luník IX, (MUDr. Pavol Štroncer)",ChildHospital,21.2217017,48.6971085
37,"Všeobecná ambulancia pre deti a dorast, MUDr. Brigita Telepovská, Košice-Sídl.Ťahanovce, (MUDr. Brigita Telepovská)",ChildHospital,21.2674997,48.7549773
38,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Tomášková, Košice-Sever, (MEDTOM, s.r.o.)",ChildHospital,21.2506809,48.7313113
39,"Všeobecná ambulancia pre deti a dorast, MUDr. Oľga Trebišovská, Košice-Staré Mesto, (TISS, spol. s r.o.)",ChildHospital,21.2434606,48.7249693
40,"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Szabóová, Košice-Sever, (BENEPED s.r.o.)",ChildHospital,21.2506809,48.7313113
41,"Všeobecná ambulancia pre deti a dorast, MUDr. Lýdia Zborovjanová, Košice-Západ, (PEDMED s. r. o.)",ChildHospital,21.2374149,48.7221636
42,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Zgodavová, Košice-Sídl.Ťahanovce, (MUDr. Viera Zgodavová)",ChildHospital,21.2674997,48.7549773
43,"Všeobecná ambulancia pre deti a dorast, Košice-Šaca, (Nemocnica AGEL Košice-Šaca a.s.)",ChildHospital,21.1727106,48.642548
44,"Všeobecná ambulancia pre deti a dorast, MUDr. Lýdia Frigová, Košice-Nad jazerom, (FRIGAPED s.r.o.)",ChildHospital,21.2844925,48.6895806
45,"Všeobecná ambulancia pre deti a dorast, MUDr. Marta Kičková, Košice-Sever, (Pedia Care s.r.o.)",ChildHospital,21.2506809,48.7313113
46,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Adamcová, Košice-Západ, (Poliklinika Terasa s.r.o.)",ChildHospital,21.2309443,48.7135613
47,"Všeobecná ambulancia pre deti a dorast, Košice-Západ, (Poliklinika Centrum s.r.o.)",ChildHospital,21.2313769,48.7158138
48,"Všeobecná ambulancia pre deti a dorast, MUDr. Adriena Tencerová, Košice-Sídlisko KVP, (Poliklinika ProCare Košice s.r.o.)",ChildHospital,21.2116817,48.7205373
49,"Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Nemčoková, Košice-Staré Mesto, (AVITASK, s.r.o.)",ChildHospital,21.2622222,48.7188282
50,"Všeobecná ambulancia pre deti a dorast, MUDr. Estera Kendrová, Košice-Sídl.Ťahanovce, (MEDIKEN, s.r.o.)",ChildHospital,21.2674997,48.7549773
51,"Všeobecná ambulancia pre deti a dorast, MUDr. Karolína Vasiľková, Košice-Staré Mesto, (ZANGL s.r.o.)",ChildHospital,21.2622222,48.7188282
52,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľudmila Gorelová, Košice-Nad jazerom, (PEDIAMAX s.r.o.)",ChildHospital,21.2844925,48.6895806
53,"Všeobecná ambulancia pre deti a dorast, Košice-Sever, (DYNAMED s.r.o.)",ChildHospital,21.2506809,48.7313113
54,"Všeobecná ambulancia pre deti a dorast, MUDr. Marcel Dolobáč PhD, Košice-Nad jazerom, (DOLMED, s.r.o.)",ChildHospital,21.2844925,48.6895806
55,"Všeobecná ambulancia pre deti a dorast, MUDr. Gabriela Gregová, Košice-Západ, (GRELEK s.r.o.)",ChildHospital,21.2313769,48.7158138
56,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Berešová, Košice-Dargov.hrdinov, (LSK PLUS s.r.o.)",ChildHospital,21.2824586,48.7395041
57,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Berešová, Košice-Nad jazerom, (LSK PLUS s.r.o.)",ChildHospital,21.2844925,48.6895806
58,"Všeobecná ambulancia pre deti a dorast, MUDr. Daniela Sopková, Košice-Nad jazerom, (PEDCARE s.r.o.)",ChildHospital,21.2844925,48.6895806
59,"Všeobecná ambulancia pre deti a dorast, Košice-Juh, (Medical group Košice s.r.o.)",ChildHospital,21.2598635,48.7078539
60,"Všeobecná ambulancia pre deti a dorast, MUDr.  Adriana Schuster, Košice-Dargov.hrdinov, (ELAPED s.r.o.)",ChildHospital,21.2824586,48.7395041
61,Pošta 1,PostOffice,21.2502581,48.7220054
62,Pošta 2,PostOffice,21.2661290564839,48.7262418332086
63,Pošta 3,PostOffice,21.26015813,48.71057251
64,Pošta 4,PostOffice,21.2502458920999,48.7305522369494
65,Pošta 5,PostOffice,21.25145813646205,48.69601215
66,Pošta 7,PostOffice,21.2528158,48.7008809
67,Pošta 7 OC OPTIMA,PostOffice,21.24037,48.69404
68,Pošta 8,PostOffice,21.243718248581864,48.7304744
69,Pošta 10,PostOffice,21.2339435946779,48.7146455881833
70,Pošta 11,PostOffice,21.23649273,48.70766594
71,Pošta 12,PostOffice,21.2837418777838,48.6890808178232
72,Pošta 13,PostOffice,21.2710792,48.7516685
73,Pošta 14,PostOffice,21.2981246,48.73347607
74,Pošta 15,PostOffice,21.1706467018962,48.633212202029
75,Pošta 16,PostOffice,21.20478008810003,48.70904381127996
76,Pošta 17,PostOffice,21.2650939028085,48.6780537834764
77,Pošta 18,PostOffice,21.3121787792325,48.6725383420022
78,Pošta 19,PostOffice,21.26692105,48.74061521
79,Pošta 20,PostOffice,21.2956472194495,48.6799234574198
80,Pošta 22,PostOffice,21.2844197,48.7360309
81,Pošta 23,PostOffice,21.21663394,48.71554186
82,Pošta-Železiarne,PostOffice,21.1929858,48.6228251
83,"Ambulancia zubného lekárstva, MUDr. Zuzana Fedorová, Košice-Juh, (SebiDent s.r.o.)",Dentist,21.2576085,48.7070256
84,"Ambulancia zubného lekárstva, MUDr. Zuzana Antošová, Košice-Juh, (HUGODENT, s. r. o.)",Dentist,21.2576085,48.7070256
85,"Ambulancia zubného lekárstva, MUDr. Viera Arendárčiková, Košice-Západ, (MUDr. Viera Arendárčiková)",Dentist,21.2218523,48.7088278
86,"Ambulancia zubného lekárstva, MUDr. Eleonóra Babíková, Košice-Juh, (ELDA Dent s.r.o.)",Dentist,21.2599108,48.7155408
87,"Ambulancia zubného lekárstva, MUDr.Božena Badlíková, Košice-Dargov.hrdinov, (MUDr. Božena Badlíková)",Dentist,21.2852275,48.7315797
88,"Ambulancia zubného lekárstva, MUDr. Vladimír Balažič, CSc., Košice-Staré Mesto, (Ambulancia TYRKYS s.r.o.)",Dentist,21.2548799,48.7195278
89,"Ambulancia zubného lekárstva, Mihály Répasi, Košice-Staré Mesto, (HAPPYDENT, s. r. o.)",Dentist,21.2649046,48.7184194
90,"Ambulancia zubného lekárstva, MUDr. Magdaléna Bodáková, Košice-Staré Mesto, (Dental - Prim Plus s. r. o.)",Dentist,21.2573005,48.7200676
91,"Ambulancia zubného lekárstva, MUDr. Rastislav Boroš, Košice-Západ, (BorgiDent s. r. o.)",Dentist,21.2241475,48.7112039
92,"Ambulancia zubného lekárstva, MUDr. Oľga Borošová, Košice-Západ, (BorgiDent s. r. o.)",Dentist,21.2325557,48.6988397
93,"Ambulancia zubného lekárstva, MDDr. Štefánia Zupková, Košice-Staré Mesto, (ZUPKO dental center s.r.o.)",Dentist,21.2434606,48.7249693
94,"Ambulancia zubného lekárstva, MDDr. Lenka Budziňáková, Košice-Západ, (QUALIDENT, s.r.o.)",Dentist,21.2411626,48.70765
95,"Ambulancia zubného lekárstva, MUDr. Anna Cifráková, Košice-Západ, (AC DENTAL s.r.o.)",Dentist,21.2328135,48.7102261
96,"Ambulancia zubného lekárstva, MUDr. Štefan Cuľba, Košice-Juh, (DENTAL CLINIC GOLD s.r.o.)",Dentist,21.267924,48.717751
97,"Ambulancia zubného lekárstva, MUDr. Radoslava Cuľbová, Košice-Juh, (M&K dent spol. s.r.o.)",Dentist,21.2598635,48.7078539
98,"Ambulancia zubného lekárstva, MUDr. Adriana Čečetková, PhD., Košice-Juh, (Endo-Dent s.r.o.)",Dentist,21.2605221,48.7071672
99,"Ambulancia zubného lekárstva, MDDr. Marta Kyjovská Čičváková, Košice-Dargov.hrdinov, (MartiDent s.r.o.)",Dentist,21.2824586,48.7395041
100,"Ambulancia zubného lekárstva, MUDr. Gabriela Čisláková, Košice-Juh, (NUMERO-DENT s. r. o.)",Dentist,21.2576085,48.7070256
101,"Ambulancia zubného lekárstva, MUDr. Iveta Čižmáriková, Košice-Nad jazerom, (MUDr. Iveta Čižmáriková)",Dentist,21.2844925,48.6895806
102,"Ambulancia zubného lekárstva, MDDr. Beáta Deiml, Košice-Západ, (Diamondsmile s.r.o.)",Dentist,21.2354758,48.6975186
103,"Ambulancia zubného lekárstva, MUDr. Yury Demidov, Košice-Staré Mesto, (VLADE s. r. o.)",Dentist,21.2536345,48.7232423
104,"Ambulancia zubného lekárstva, MUDr. Erich Dráb, Košice-Šaca, (MUDr. Erich Dráb)",Dentist,21.1728885,48.6367051
105,"Ambulancia zubného lekárstva, MUDr. Kalid El-Momany, Košice-Staré Mesto, (MOMANY DENT, s. r. o.)",Dentist,21.2594027,48.7217065
106,"Ambulancia zubného lekárstva, Košice-Juh, (TREDENT s.r.o.)",Dentist,21.2576085,48.7070256
107,"Ambulancia zubného lekárstva, MUDr. Mária Eötvösová, Košice-Juh, (TREDENT s.r.o.)",Dentist,21.2576085,48.7070256
108,"Ambulancia zubného lekárstva, Košice-Sever, (NEODENT s. r. o.)",Dentist,21.2404772,48.7298319
109,"Ambulancia zubného lekárstva, MUDr. Beáta Futóová, Košice-Sídl.Ťahanovce, (FUDENTO s.r.o.)",Dentist,21.2674997,48.7549773
110,"Ambulancia zubného lekárstva, MDDr. Zdenka Lučivjanská, Košice-Juh, (G-Dentistry s.r.o.)",Dentist,21.2682463,48.716418
111,"Zubná ambulancia - OMNIDENT, Košice-Sídl.Ťahanovce, (OMNIDENT J&J s.r.o.)",Dentist,21.2674997,48.7549773
