Id;X;Y
1;21.2159377;48.7126189
2;21.2169239;48.7210608
3;21.2731158;48.7383769
4;21.2241459;48.6875045
5;21.2435984;48.7043838
6;21.2655907;48.6883773
7;21.2663241;48.6886154
8;21.2605461;48.6880854
9;21.2609515;48.7099587
10;21.250753;48.7106916
11;21.2537961;48.7101691
12;21.2531632;48.712351
13;21.2500592;48.7119669
14;21.2621959;48.7104559
15;21.2607611;48.7113194
16;21.2335729;48.6745541
17;21.2735452;48.720814
18;21.2903483;48.7294064
19;21.2769795;48.7291882
20;21.2732837;48.7237944
21;21.2734958;48.7237217
22;21.2739635;48.7233838
23;21.2741272;48.7232014
24;21.2741674;48.7224293
25;21.2755152;48.7204452
26;21.2801534;48.6924011
27;21.2779892;48.6907981
28;21.2796409;48.6905472
29;21.2453188;48.7384838
30;21.2447977;48.7388307
31;21.2471755;48.7269228
32;21.2423338;48.704932
33;21.2432014;48.7044055
34;21.2438158;48.7049026
35;21.2430348;48.7053743
36;21.2517898;48.7384913
37;21.2668362;48.7422227
38;21.2716737;48.7417214
39;21.2644801;48.719624
40;21.2645899;48.7207861
41;21.2664511;48.7223612
42;21.2657469;48.7220987
43;21.2658891;48.7215318
44;21.262918;48.7221798
45;21.2576296;48.7273618
46;21.2577983;48.7276772
47;21.257695;48.7278358
48;21.2575991;48.7279165
49;21.2567116;48.728226
50;21.2488408;48.7414436
51;21.2465022;48.743766
52;21.2423851;48.7446528
53;21.2077579;48.7737648
54;21.2079878;48.7764406
55;21.2072474;48.776676
56;21.2056163;48.7766265
57;21.2630948;48.7216093
58;21.2633201;48.7209935
59;21.2636324;48.7217288
60;21.2638911;48.7215295
61;21.2573089;48.7279568
62;21.2569291;48.727755
63;21.2571458;48.7273761
64;21.2634998;48.7207447
65;21.2534053;48.7165157
66;21.2611038;48.7130258
67;21.2144835;48.6812715
68;21.2724177;48.7420251
69;21.2694777;48.7417333
70;21.2710629;48.7414083
71;21.2719866;48.7399498
72;21.277307;48.7294673
73;21.2707068;48.7421753
74;21.238885;48.7004925
75;21.2326497;48.6940484
76;21.218385;48.6845967
77;21.216892;48.6834419
78;21.2142665;48.6818066
79;21.2148697;48.6800684
80;21.2141629;48.6802784
81;21.2438056;48.7052751
82;21.2448786;48.7068361
83;21.2465385;48.7093576
84;21.2467769;48.7141513
85;21.2529859;48.7163556
86;21.2711493;48.7439722
87;21.2723255;48.7451646
88;21.2713143;48.7444795
89;21.2707659;48.7436016
90;21.2654293;48.7183052
91;21.2754705;48.7437525
92;21.1412407;48.7811592
93;21.2708829;48.6713702
94;21.2690876;48.7181869
95;21.2651486;48.713043
96;21.2645683;48.7195264
97;21.2551171;48.7352436
98;21.2560059;48.7378142
99;21.2561537;48.7405138
100;21.2412328;48.7284804
101;21.2602153;48.7202233
102;21.2561275;48.7163732
103;21.262034;48.7045023
104;21.2594981;48.7048392
105;21.2584584;48.7064722
106;21.2529484;48.7018589
107;21.2514851;48.7003529
108;21.2513119;48.7002231
109;21.249332;48.6983954
110;21.2412561;48.6917754
111;21.2369372;48.6930064
112;21.2337618;48.6940816
113;21.2387836;48.7000063
114;21.2339104;48.7196258
115;21.2421253;48.7273915
116;21.2423059;48.7279029
117;21.267273;48.7421766
118;21.2462544;48.7366766
119;21.2544999;48.7271248
120;21.2536329;48.7276876
121;21.2435181;48.7373437
122;21.2417367;48.7366977
123;21.2710167;48.7437251
124;21.2502026;48.7188617
125;21.2506571;48.7177847
126;21.251231;48.7097033
127;21.2499808;48.7100973
128;21.2486482;48.7105396
129;21.2502032;48.7094385
130;21.2563904;48.7106622
131;21.2440322;48.7140468
132;21.206142;48.7096963
133;21.2465447;48.7141281
134;21.2552069;48.7164207
135;21.2549673;48.7169144
136;21.2511922;48.7255254
137;21.2588885;48.7259648
138;21.2571717;48.725591
139;21.2569567;48.7258481
140;21.2590879;48.7260156
141;21.263651;48.7130128
142;21.2629596;48.7153489
143;21.2641525;48.7157541
144;21.2510022;48.7262964
145;21.2479648;48.7268516
146;21.2623094;48.7045189
147;21.2389287;48.7073183
148;21.238425;48.7062259
149;21.2392085;48.7070966
150;21.2867123;48.7277341
151;21.2779994;48.6902959
152;21.2699578;48.6894961
153;21.2629284;48.688305
154;21.2417332;48.6916071
155;21.276733;48.7211919
156;21.2752933;48.7231472
157;21.2514652;48.7001452
158;21.2323932;48.6946597
159;21.2463243;48.7396892
160;21.2454399;48.738613
161;21.2462378;48.7362928
162;21.2530036;48.7179818
163;21.2465478;48.7209039
164;21.2351185;48.7219861
165;21.2348854;48.7220485
166;21.2489943;48.7202136
167;21.229198;48.7232098
168;21.226749;48.7217789
169;21.2331849;48.6945369
170;21.2333547;48.6944521
171;21.2353264;48.6962148
172;21.2519465;48.7223843
173;21.2535841;48.7226418
174;21.2626322;48.7216554
175;21.2569275;48.7182048
176;21.2615925;48.7229974
177;21.2601231;48.7249296
178;21.2619513;48.7225323
179;21.2580578;48.724205
180;21.2256054;48.7213456
181;21.2265667;48.7211408
182;21.2309563;48.7495538
183;21.2611685;48.701372
184;21.2615901;48.6991798
185;21.2694615;48.7426053
186;21.2666632;48.7423204
187;21.2556262;48.7255489
188;21.2594411;48.7178245
189;21.2547481;48.7181219
190;21.2567412;48.7164198
